Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25572	rdfs:subClassOf	OBI:0000272
ERROR	deprecated_class_reference	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38389	rdfs:subClassOf	OBI:0100026
ERROR	deprecated_class_reference	GO:0050663	rdfs:subClassOf	OBI:0000070
ERROR	deprecated_class_reference	PATO:0000371	rdfs:subClassOf	http://purl.bioontology.org/ontology/npo#NPO_1793
ERROR	duplicate_definition	http://www.ebi.ac.uk/efo/EFO_0002831	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.
ERROR	duplicate_definition	http://www.ebi.ac.uk/efo/EFO_0002834	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.
ERROR	duplicate_definition	http://www.ebi.ac.uk/efo/EFO_0002895	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.
ERROR	duplicate_definition	http://www.ebi.ac.uk/efo/EFO_0009399	IAO:0000115	Volume of subiculum region in hippocampus.
ERROR	duplicate_definition	http://www.ebi.ac.uk/efo/EFO_0009400	IAO:0000115	Volume of subiculum region in hippocampus.
ERROR	duplicate_definition	CLO:0014942	IAO:0000115	UDP-GLYCOSYLTRANSFERASE 1 FAMILY, POLYPEPTIDE A1; UGT1A1 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 50 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 100
ERROR	duplicate_definition	CLO:0014951	IAO:0000115	UDP-GLYCOSYLTRANSFERASE 1 FAMILY, POLYPEPTIDE A1; UGT1A1 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 50 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 100
ERROR	duplicate_definition	CLO:0015112	IAO:0000115	UDP-GLYCOSYLTRANSFERASE 1 FAMILY, POLYPEPTIDE A1; UGT1A1 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 50 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 100
ERROR	duplicate_definition	CLO:0015126	IAO:0000115	UDP-GLYCOSYLTRANSFERASE 1 FAMILY, POLYPEPTIDE A1; UGT1A1 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 50 HUMAN VARIATION PANEL - AFRICAN AMERICAN PANEL OF 100
